Output for Apriori algorithm C++ program

Item     Frequency              Support
escalope french fries   123             1.63978%
escalope fresh bread    27              0.359952%
escalope frozen smoothie        41              0.546594%
escalope frozen vegetables      57              0.759899%
escalope grated cheese  36              0.479936%
escalope green tea      67              0.893214%
escalope ground beef    62              0.826556%
escalope herb & pepper  27              0.359952%
escalope honey  29              0.386615%
escalope low fat yogurt         35              0.466604%
escalope milk   58              0.77323%
escalope mineral water  128             1.70644%
escalope olive oil      18              0.239968%
escalope pancakes       44              0.586588%
escalope salmon         25              0.333289%
escalope shrimp         32              0.42661%
escalope soup   26              0.34662%
escalope spaghetti      105             1.39981%
escalope tomatoes       41              0.546594%
escalope turkey         32              0.42661%
escalope whole wheat rice       39              0.519931%
french fries fresh bread        62              0.826556%
french fries frozen smoothie    109             1.45314%
french fries frozen vegetables  143             1.90641%
french fries grated cheese      78              1.03986%
french fries green tea  214             2.85295%
french fries ground beef        104             1.38648%
french fries herb & pepper      52              0.693241%
french fries honey      67              0.893214%
french fries low fat yogurt     100             1.33316%
french fries milk       178             2.37302%
french fries mineral water      253             3.37288%
french fries olive oil  69              0.919877%
french fries pancakes   151             2.01306%
french fries salmon     44              0.586588%
french fries shrimp     75              0.999867%
french fries soup       57              0.759899%
french fries spaghetti  207             2.75963%
french fries tomatoes   90              1.19984%
french fries turkey     80              1.06652%
french fries whole wheat rice   79              1.05319%
fresh bread frozen smoothie     32              0.42661%
fresh bread frozen vegetables   51              0.679909%
fresh bread grated cheese       23              0.306626%
fresh bread green tea   48              0.639915%
fresh bread ground beef         46              0.613252%
fresh bread herb & pepper       23              0.306626%
fresh bread honey       20              0.266631%
fresh bread low fat yogurt      32              0.42661%
fresh bread milk        69              0.919877%
fresh bread mineral water       100             1.33316%
fresh bread olive oil   38              0.506599%
fresh bread pancakes    40              0.533262%
fresh bread salmon      21              0.279963%
fresh bread shrimp      39              0.519931%
fresh bread soup        20              0.266631%
fresh bread spaghetti   68              0.906546%
fresh bread tomatoes    35              0.466604%
fresh bread turkey      24              0.319957%
fresh bread whole wheat rice    28              0.373284%
frozen smoothie frozen vegetables       75              0.999867%
frozen smoothie grated cheese   24              0.319957%
frozen smoothie green tea       84              1.11985%
frozen smoothie ground beef     57              0.759899%
frozen smoothie herb & pepper   28              0.373284%
frozen smoothie honey   44              0.586588%
frozen smoothie low fat yogurt  55              0.733236%
frozen smoothie milk    107             1.42648%
frozen smoothie mineral water   152             2.0264%
frozen smoothie olive oil       52              0.693241%
frozen smoothie pancakes        68              0.906546%
frozen smoothie salmon  38              0.506599%
frozen smoothie shrimp  55              0.733236%
frozen smoothie soup    19              0.2533%
frozen smoothie spaghetti       117             1.55979%
frozen smoothie tomatoes        49              0.653246%
frozen smoothie turkey  31              0.413278%
frozen smoothie whole wheat rice        45              0.59992%
frozen vegetables grated cheese         51              0.679909%
frozen vegetables green tea     108             1.43981%
frozen vegetables ground beef   127             1.69311%
frozen vegetables herb & pepper         45              0.59992%
frozen vegetables honey         57              0.759899%
frozen vegetables low fat yogurt        76              1.0132%
frozen vegetables milk  177             2.35969%
frozen vegetables mineral water         268             3.57286%
frozen vegetables olive oil     85              1.13318%
frozen vegetables pancakes      101             1.34649%
frozen vegetables salmon        47              0.626583%
